track_name,artist(s)_name,in_spotify_playlists,in_spotify_charts,streams,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,cover_url,release_date
Labyrinth,Taylor Swift,1597,0,187339835,110,Unknown,Major,48,15,31,80,22,12,4,https://i.scdn.co/image/ab67616d0000b273bb54dde68cd23e2a268ae0f5,2022-10-21
Spin Bout U,"Drake, 21 Savage",1652,2,198365537,130,G,Major,77,20,70,1,0,16,5,https://i.scdn.co/image/ab67616d0000b27302854a7060fccc1a66a4b5ad,2022-11-04
Sweet Nothing,Taylor Swift,1747,0,186104310,177,Unknown,Major,34,39,16,97,0,12,5,https://i.scdn.co/image/ab67616d0000b273bb54dde68cd23e2a268ae0f5,2022-10-21
"Would've, Could've, Should've",Taylor Swift,1715,0,177503916,158,G,Major,48,55,84,43,0,15,12,https://i.scdn.co/image/ab67616d0000b2737dca066ca62e4ebb583b8058,2022-10-21
Con La Brisa,"Ludwig Goransson, Foudeqush",486,0,71095708,114,D,Minor,62,25,44,51,33,14,3,Not Found,2022-11-04
Privileged Rappers,"Drake, 21 Savage",1007,0,112436403,144,F,Major,93,62,61,0,0,12,20,https://i.scdn.co/image/ab67616d0000b27302854a7060fccc1a66a4b5ad,2022-11-04
The Astronaut,Jin,481,9,203436468,125,F,Major,54,22,76,0,0,14,3,https://i.scdn.co/image/ab67616d0000b27343aaff780ea621da5ce4eb0a,2022-10-28
BackOutsideBoyz,Drake,1045,0,93367537,142,F,Minor,85,40,43,4,0,39,32,https://i.scdn.co/image/ab67616d0000b27302854a7060fccc1a66a4b5ad,2022-11-04
Broke Boys,"Drake, 21 Savage",1060,0,106249219,120,D,Major,64,11,53,1,0,25,27,https://i.scdn.co/image/ab67616d0000b27302854a7060fccc1a66a4b5ad,2022-11-04
The Great War,Taylor Swift,1274,0,181382590,96,F,Major,57,55,74,22,0,8,4,https://i.scdn.co/image/ab67616d0000b273e0b60c608586d88252b8fbc0,2022-10-21
My Mind & Me,Selena Gomez,953,0,91473363,144,A,Major,60,24,39,57,0,8,3,https://i.scdn.co/image/ab67616d0000b2730f5397dc6aa91374897182e0,2022-11-03
Bigger Than The Whole Sky,Taylor Swift,1180,0,121871870,166,F#,Major,42,7,24,83,1,12,6,https://i.scdn.co/image/ab67616d0000b273e0b60c608586d88252b8fbc0,2022-10-21
A Veces (feat. Feid),"Feid, Paulo Londra",573,0,73513683,92,C#,Major,80,81,67,4,0,8,6,Not Found,2022-11-03
En La De Ella,"Feid, Sech, Jhayco",1320,0,133895612,97,C#,Major,82,67,77,8,0,12,5,Not Found,2022-10-20
Alone,Burna Boy,782,2,96007391,90,E,Minor,61,32,67,15,0,11,5,https://i.scdn.co/image/ab67616d0000b273992a1f56ac5382848277cff2,2022-11-04
